Renovation budget template,https://home-stories.12f.dk/blog/renovation-budget-template/

Contingency %,20%,Set this to match the age of the house — see the post.

Category,Item,Supplier,Low quote,Mid quote,High quote,Actual paid,Date paid,VAT
Design & permits,Architect / designer fees,,,,,,,
Design & permits,Building permit,,,,,,,
Design & permits,"Engineering reports (structural, soil)",,,,,,,
Design & permits,Heritage consent (older homes),,,,,,,
Design & permits,Inspection fees,,,,,,,
Demolition & disposal,Skip / dumpster hire,,,,,,,
Demolition & disposal,Hazardous material handling (asbestos in homes built before 1990 in most countries),,,,,,,
Demolition & disposal,Removal of old appliances,,,,,,,
Demolition & disposal,Site protection materials,,,,,,,
Structural & shell,Carpentry / framing,,,,,,,
Structural & shell,Steel beams or load-bearing changes,,,,,,,
Structural & shell,Roofing,,,,,,,
Structural & shell,Insulation,,,,,,,
Structural & shell,Drywall / plasterboard,,,,,,,
"Mechanical, electrical, plumbing (MEP)",Electrician (rough-in + final),,,,,,,
"Mechanical, electrical, plumbing (MEP)",Plumber (rough-in + final),,,,,,,
"Mechanical, electrical, plumbing (MEP)",HVAC modifications,,,,,,,
"Mechanical, electrical, plumbing (MEP)",Smart home wiring (often forgotten),,,,,,,
"Mechanical, electrical, plumbing (MEP)",Permits specific to MEP,,,,,,,
Finishes,"Flooring (material + installation, often quoted separately)",,,,,,,
Finishes,"Tile (wall, floor, splashbacks)",,,,,,,
Finishes,Paint (primer + topcoat + labour),,,,,,,
Finishes,"Trim, skirting, architrave",,,,,,,
Fixtures & fittings,Kitchen cabinets + benchtop + appliances,,,,,,,
Fixtures & fittings,Bathroom suite + tapware,,,,,,,
Fixtures & fittings,Light fittings,,,,,,,
Fixtures & fittings,Door hardware,,,,,,,
Fixtures & fittings,Window treatments,,,,,,,
Furniture & decoration,"Often dismissed as ""later"" — then suddenly you're sitting on packing crates because the budget had no room for a sofa.",,,,,,,
Finance & opportunity cost,Loan interest during the build,,,,,,,
Finance & opportunity cost,Temporary accommodation if you've moved out,,,,,,,
Finance & opportunity cost,Storage costs,,,,,,,
Finance & opportunity cost,"Time off work (yours, for site visits and decisions)",,,,,,,
Contingency,A line. Not an afterthought.,,,,,,,

This template is the right tool for planning. It stops being the right tool once the work starts and costs arrive faster than you update rows — that is what Home Stories is for. Free on the App Store.
